Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Research scientist (physical sciences),Finance,Decreasing,High,129182.71,PhD,11,9680,9221,56.75,46.68,USA,54.16
Early years teacher,Healthcare,Decreasing,Low,98270.84,Associate Degree,14,2100,4815,78,3.09,USA,35.38
Electrical engineer,IT,Increasing,High,96517.87,Associate Degree,9,2440,4924,50.73,76.44,USA,71.39
Ambulance person,Manufacturing,Decreasing,Moderate,42123.55,PhD,11,3375,9427,81.03,27.86,USA,34.02
Advertising account executive,Retail,Increasing,Moderate,79247.56,Bachelor’s Degree,18,148,4850,97.16,63.98,USA,52.83
"Engineer, building services",Education,Decreasing,High,66477.58,Associate Degree,11,9791,2123,54.69,50.28,USA,20.69
Pensions consultant,IT,Increasing,Moderate,72306.22,PhD,4,1169,9952,93.25,52.89,USA,45.55
Dramatherapist,Entertainment,Increasing,Moderate,102041.25,Associate Degree,4,7973,2664,21.48,97.04,USA,67.23
"Doctor, hospital",IT,Increasing,Low,122469.19,Bachelor’s Degree,6,309,5365,42.61,72,USA,73.35
Museum/gallery curator,IT,Increasing,Low,134691.05,PhD,19,3828,6111,23.21,17.78,USA,65.8
Estate agent,Manufacturing,Decreasing,High,129191.86,Bachelor’s Degree,19,5930,1998,19.42,29.27,USA,38.27
"Surveyor, mining",Transportation,Increasing,High,133839.11,Bachelor’s Degree,3,4087,6573,77.49,97.02,USA,21.32
Economist,IT,Increasing,Low,85839.95,Master’s Degree,7,370,8428,16.21,20.95,USA,24.91
"Librarian, public",Entertainment,Increasing,Moderate,40138.82,High School,14,4461,3641,18.31,81.81,USA,53.25
Chiropodist,Healthcare,Increasing,Low,85545.38,Master’s Degree,8,1744,2315,93.73,37.04,USA,31.73
Chief of Staff,Manufacturing,Decreasing,Moderate,98958.74,Bachelor’s Degree,17,7923,1834,98.04,67.52,USA,46
"Scientist, biomedical",Retail,Decreasing,Low,125383.44,Associate Degree,0,618,8944,93.99,40.74,USA,61.43
"Designer, fashion/clothing",Healthcare,Decreasing,Low,113297.32,Associate Degree,8,9548,7281,82.78,79.61,USA,27.5
Information systems manager,Transportation,Increasing,High,113991.59,Associate Degree,12,7530,390,69.98,87.79,USA,71.88
Interior and spatial designer,IT,Increasing,Low,94442.2,Master’s Degree,12,7885,4787,92.82,8.66,USA,68.68
Automotive engineer,Healthcare,Decreasing,High,109415.32,PhD,1,8244,2582,3.67,70.81,USA,22.04
Multimedia programmer,Entertainment,Increasing,Low,56135.47,Associate Degree,4,1229,7369,66.08,21.61,USA,23.48
Health promotion specialist,Transportation,Increasing,Low,82613.9,Master’s Degree,19,8168,247,94.57,80.17,USA,78.47
Public relations officer,Healthcare,Decreasing,Moderate,114687.7,High School,17,1573,4576,39.34,59.74,USA,32.08
"Designer, jewellery",Transportation,Decreasing,Moderate,112131.52,High School,0,224,8836,66.38,49.41,USA,28.07
Psychiatrist,Education,Increasing,Moderate,62451.48,Bachelor’s Degree,7,888,1424,56.65,60.73,USA,57.72
"Surveyor, land/geomatics",Entertainment,Increasing,Moderate,40789.83,Associate Degree,0,9761,5197,34.55,4.13,USA,41.54
Economist,Retail,Decreasing,Low,34690.02,Associate Degree,11,2224,4485,94.27,88.99,USA,75.8
Social worker,Transportation,Increasing,Low,48640.55,PhD,9,9839,2285,84.16,86.6,USA,42.18
Economist,Healthcare,Decreasing,Low,95776.98,PhD,9,9570,2719,67.1,83,USA,68.78
"Engineer, maintenance (IT)",Entertainment,Decreasing,Moderate,139712.5,Master’s Degree,10,170,8989,39.05,82.25,USA,24.96
Building surveyor,Transportation,Increasing,Low,62828.37,Bachelor’s Degree,6,4099,6401,79.93,71.86,USA,29.77
Educational psychologist,Finance,Increasing,Moderate,42488.01,Associate Degree,5,402,6340,51.41,83.34,USA,53.99
Science writer,Transportation,Decreasing,Moderate,113793.89,Master’s Degree,16,7508,2627,63.25,76.79,USA,26.47
Careers information officer,IT,Increasing,Low,44616.29,Master’s Degree,0,8759,1961,21.95,78.18,USA,65.01
Marine scientist,Healthcare,Increasing,Low,62145.09,Bachelor’s Degree,20,908,5230,53.9,29.02,USA,67.75
Corporate investment banker,Healthcare,Increasing,Moderate,56050.88,Master’s Degree,12,9185,7504,15.08,44.12,USA,49.53
Minerals surveyor,IT,Decreasing,Moderate,121536.96,High School,16,6213,1081,34.91,5.01,USA,50.23
Building services engineer,Manufacturing,Decreasing,Low,106242.33,Bachelor’s Degree,7,8411,6111,20.71,90,USA,56.66
Location manager,Healthcare,Decreasing,High,113191.35,High School,3,9029,3657,5.49,88.2,USA,68.54
Water quality scientist,Retail,Increasing,High,120788.88,Bachelor’s Degree,12,5610,2951,4.67,19.99,USA,43.69
Police officer,Retail,Decreasing,High,95212.96,Associate Degree,9,2389,3293,2.11,10.77,USA,32.08
"Psychotherapist, child",Manufacturing,Decreasing,Low,48004.97,Associate Degree,7,1550,1620,28.78,43.14,USA,59.43
"Radiographer, diagnostic",Entertainment,Increasing,High,128467.07,Bachelor’s Degree,16,462,8424,44.83,65.12,USA,25.09
Educational psychologist,Education,Increasing,High,111204.78,Master’s Degree,7,6598,8325,4.92,44.61,USA,76.78
Audiological scientist,IT,Decreasing,Moderate,121079.69,PhD,11,6932,8170,65.41,94.6,USA,73.15
Technical brewer,Manufacturing,Decreasing,Moderate,77213.71,PhD,1,5735,5117,47.03,67.14,USA,51.69
Commercial/residential surveyor,Healthcare,Increasing,Low,39078.16,High School,7,4544,989,83.08,35.95,USA,29.32
English as a second language teacher,Manufacturing,Decreasing,Moderate,109081.24,Master’s Degree,10,7048,665,10.19,62.12,USA,46.52
Civil Service administrator,Finance,Increasing,Low,60143.84,Bachelor’s Degree,7,2753,4443,60.56,75.62,USA,71.89
Curator,Entertainment,Increasing,Moderate,64311.23,Master’s Degree,9,6612,1252,97.37,5.69,USA,60.39
Community development worker,Retail,Increasing,Low,84371.74,PhD,17,9791,3402,43.32,73.19,USA,20.74
Solicitor,IT,Increasing,Moderate,125799.54,High School,17,3929,8432,33.57,22.95,USA,60.9
Chartered accountant,IT,Decreasing,High,128778.53,Master’s Degree,17,9139,9792,86.78,91.6,USA,77.32
"Editor, magazine features",Retail,Decreasing,Moderate,140883.87,High School,15,9752,3939,6.13,42.59,USA,42.74
"Geneticist, molecular",Manufacturing,Decreasing,High,31319.64,Bachelor’s Degree,11,9768,1504,8.82,1.53,USA,68.06
Fashion designer,Transportation,Decreasing,Low,36071.33,Master’s Degree,8,8163,3350,96.96,44.09,USA,77.17
Contractor,Entertainment,Decreasing,High,80575.05,Associate Degree,16,7716,1208,48.59,51.69,USA,28.65
Communications engineer,Entertainment,Decreasing,High,122827.52,Associate Degree,4,7785,2062,94.92,40.16,USA,29.01
Database administrator,IT,Increasing,Moderate,75313.75,Associate Degree,9,1020,4226,8.91,39.43,USA,23.6
Video editor,Education,Increasing,Moderate,60255.27,High School,18,8610,8096,29.58,38.5,USA,20.15
Occupational therapist,Retail,Increasing,Low,122869.56,High School,20,9215,2341,6.81,9.8,USA,79.56
Insurance underwriter,Retail,Decreasing,Moderate,104461.85,Bachelor’s Degree,18,1039,2161,77.09,54.98,USA,34.2
Mudlogger,Entertainment,Decreasing,Low,128649.26,PhD,15,312,5065,76.15,99.66,USA,27.4
"Psychotherapist, child",Retail,Decreasing,Moderate,68497.42,Bachelor’s Degree,1,204,9607,57.97,63.01,USA,54.87
Private music teacher,Education,Increasing,Moderate,89394.36,Associate Degree,8,301,6650,94.52,71.05,USA,76.64
"Radiographer, diagnostic",Manufacturing,Increasing,High,135659.98,Bachelor’s Degree,2,6220,4111,42.18,56.67,USA,74.37
Advertising account planner,Manufacturing,Decreasing,Low,105034.36,Master’s Degree,8,5340,9365,31.1,49.09,USA,55.59
"Production designer, theatre/television/film",IT,Increasing,High,80474.52,Bachelor’s Degree,15,3141,3389,33.55,20.51,USA,46.25
Planning and development surveyor,Transportation,Increasing,Moderate,82448.38,Associate Degree,10,6799,710,32.66,94.01,USA,54.55
Dramatherapist,Finance,Decreasing,Moderate,53352.83,PhD,6,2918,9010,32.25,41.16,USA,63.26
Occupational psychologist,Healthcare,Decreasing,High,34571.07,Bachelor’s Degree,2,6426,2090,47.5,4.17,USA,59.27
Food technologist,IT,Increasing,Low,56336.88,High School,18,189,227,16.21,92.36,USA,26.58
Waste management officer,Healthcare,Increasing,Moderate,39960.84,High School,19,6111,4207,38.59,55.09,USA,63.45
"Programmer, applications",IT,Increasing,High,139253.44,Associate Degree,4,5247,6124,96.64,57.58,USA,56.42
Primary school teacher,Healthcare,Increasing,High,34150.16,Master’s Degree,18,4518,1956,17.85,2.78,USA,42.71
"Geologist, wellsite",Retail,Decreasing,Low,37934.15,Bachelor’s Degree,10,2065,9736,72.07,35.98,USA,58.93
"Surveyor, commercial/residential",Retail,Increasing,High,89939.5,PhD,10,1550,6058,93.78,95.83,USA,49.32
Event organiser,IT,Decreasing,Low,71471.6,Associate Degree,11,5989,6098,78.73,77.36,USA,60.39
"Surveyor, planning and development",Finance,Increasing,Low,81092.03,Bachelor’s Degree,18,3031,3010,66.86,55.66,USA,33.41
Chartered accountant,Entertainment,Decreasing,High,92756.17,Bachelor’s Degree,0,1637,8112,58.55,37.54,USA,75.27
"Scientist, research (life sciences)",Healthcare,Increasing,Low,37160.63,Bachelor’s Degree,2,3942,7059,1.25,34.24,USA,51.02
Education administrator,Manufacturing,Decreasing,Moderate,109621.49,Bachelor’s Degree,15,6155,1781,0.94,23.11,USA,57.13
"Pharmacist, community",IT,Increasing,High,35932.02,High School,4,1303,2342,42.63,5.29,USA,49.86
"Lecturer, higher education",Finance,Increasing,Moderate,104280.33,High School,12,9707,4638,53.58,26.45,USA,43.94
Clinical molecular geneticist,Healthcare,Increasing,Low,118919.63,Bachelor’s Degree,11,9372,5601,23.89,16.06,USA,39.65
Environmental education officer,IT,Increasing,Low,73698.8,PhD,5,4728,1236,32.8,23.53,USA,61.56
"Psychotherapist, child",Entertainment,Decreasing,High,53469.44,High School,12,9508,6959,75.5,68.79,USA,62.99
Art therapist,Healthcare,Increasing,Moderate,136311.03,Associate Degree,3,4444,4111,41.62,50.11,USA,34.42
Drilling engineer,Education,Increasing,Low,64078.71,Associate Degree,17,5952,307,11.98,9.96,USA,34.37
"Administrator, Civil Service",Manufacturing,Decreasing,Moderate,143337.09,Master’s Degree,7,7356,5173,36.22,33.2,USA,33.34
"Restaurant manager, fast food",Retail,Decreasing,Moderate,117621.22,Associate Degree,0,6066,7126,32.25,58.8,USA,46.65
"Accountant, chartered public finance",Education,Increasing,Moderate,67226.49,PhD,18,7724,4643,34.92,69.41,USA,35.88
Technical sales engineer,Transportation,Decreasing,Low,51133.73,Bachelor’s Degree,5,9951,4420,28.41,25.4,USA,72.23
Toxicologist,Entertainment,Decreasing,Low,103780.87,High School,2,440,9689,93.12,87.02,USA,62.61
"Engineer, civil (consulting)",Education,Decreasing,Moderate,114245.64,High School,13,6703,8990,30.78,2.72,USA,78.76
Hospital pharmacist,Healthcare,Decreasing,Low,116803.63,Bachelor’s Degree,13,684,7513,70.35,26.99,USA,72.34
Set designer,Entertainment,Increasing,Low,80401.7,Master’s Degree,19,2605,7354,10.15,21.99,USA,30.62
"Engineer, production",Education,Increasing,Low,68414.82,High School,14,1925,3422,5.57,90.43,USA,40.4
Exercise physiologist,Finance,Decreasing,Low,113940.41,Master’s Degree,17,5973,9556,50.29,50.79,USA,77.52
Theme park manager,Retail,Increasing,Moderate,59174.05,PhD,17,326,9143,96.04,11.37,USA,46.22
Intelligence analyst,Education,Decreasing,High,94804.8,Master’s Degree,13,4476,6933,31.1,92.36,USA,72.79
Lobbyist,Manufacturing,Decreasing,High,84456.07,High School,5,8858,6231,46.28,0.31,USA,27.19
Orthoptist,IT,Decreasing,Low,58585.83,High School,10,9032,9047,57.69,24.05,USA,65.81
"Psychotherapist, dance movement",Finance,Decreasing,Low,144421.39,Bachelor’s Degree,1,8450,3341,12.16,63.7,USA,23.26
Minerals surveyor,Retail,Increasing,Moderate,38400.42,PhD,20,641,4690,33.77,77.91,USA,79.25
Ceramics designer,Manufacturing,Increasing,High,127761.73,Associate Degree,20,1335,1932,72.2,94.29,USA,22.57
"Teacher, secondary school",Education,Decreasing,Low,41403.25,Associate Degree,14,1013,1594,7.37,96.5,USA,31.49
"Designer, industrial/product",IT,Increasing,Low,46572.49,PhD,18,2619,8893,77.67,10.66,USA,50.53
Chiropodist,Finance,Decreasing,High,43610.57,Bachelor’s Degree,12,1482,138,5.78,41.24,USA,33.03
Government social research officer,Healthcare,Increasing,High,119700.47,Associate Degree,19,6209,1116,8.79,28.69,USA,42.65
"Engineer, land",Finance,Increasing,Moderate,99698.68,Bachelor’s Degree,13,9089,4916,97.51,91.08,USA,62.22
"Engineer, biomedical",Healthcare,Decreasing,Low,128023.28,Associate Degree,12,4196,7955,81.8,57.11,USA,21
"Radiographer, therapeutic",Manufacturing,Increasing,Moderate,44032.68,Master’s Degree,4,6794,9966,93.67,77.78,USA,31.39
Water quality scientist,Transportation,Increasing,Low,77721.31,High School,10,1805,4753,63.19,68.25,USA,65.1
Film/video editor,Manufacturing,Decreasing,Low,129932.16,Master’s Degree,12,231,1221,59.9,17.43,USA,69.16
"Psychologist, clinical",Finance,Decreasing,Moderate,126282.52,High School,4,6337,9062,60.72,40.39,USA,58.32
TEFL teacher,Education,Increasing,High,146274.01,PhD,3,1124,3351,58.52,80.68,USA,27.65
"Engineer, aeronautical",Healthcare,Decreasing,Low,82698.13,PhD,20,8305,6830,79.75,85.74,USA,68
Physiotherapist,Healthcare,Increasing,Moderate,67101.51,Bachelor’s Degree,11,6128,5021,12.77,3.2,USA,77.68
Music tutor,Finance,Increasing,High,79711.46,Master’s Degree,0,4784,1461,12.92,4.98,USA,67.52
Audiological scientist,Entertainment,Decreasing,Low,40266.12,PhD,16,4256,5664,41.2,0.66,USA,76.49
Pensions consultant,Finance,Increasing,Low,47703.32,Associate Degree,18,3071,7991,91.36,51.9,USA,73.1
"Psychologist, occupational",Retail,Increasing,Moderate,65739.35,Associate Degree,14,4422,6868,87.1,82.41,USA,40.49
"Designer, exhibition/display",Transportation,Increasing,Low,87977.07,Associate Degree,3,2231,5646,86.72,5.35,USA,74.68
Chief Technology Officer,Entertainment,Increasing,Moderate,126889.74,PhD,0,8406,9174,43.07,85.85,USA,75.27
Copy,Education,Increasing,High,109859.1,Bachelor’s Degree,9,7185,1607,71.58,42.45,USA,45.77
English as a foreign language teacher,Manufacturing,Decreasing,Moderate,78190.39,Bachelor’s Degree,12,5620,4572,12.51,66.95,USA,24.24
"Engineer, electronics",Education,Increasing,High,112804.85,Master’s Degree,12,3049,9053,62.39,25.96,USA,78.17
Television/film/video producer,Transportation,Increasing,Moderate,71172.97,Associate Degree,6,2759,144,28.83,92.79,USA,78.37
Transport planner,Healthcare,Increasing,Low,97278.39,Master’s Degree,19,6915,6136,50.85,97.44,USA,23.79
Chief Financial Officer,Transportation,Increasing,Moderate,117131.42,Associate Degree,11,4212,5289,72.67,87.98,USA,71.25
Fish farm manager,Manufacturing,Increasing,Low,80315.09,PhD,16,5919,9774,95.23,21.54,USA,65.96
Horticultural therapist,Entertainment,Increasing,Low,118249.88,Bachelor’s Degree,13,4769,5157,0.83,54.29,USA,51.98
Financial risk analyst,Healthcare,Increasing,Low,119938.37,PhD,9,9957,4280,64.84,91.86,USA,73.73
"Scientist, biomedical",Retail,Decreasing,Moderate,127228.62,Bachelor’s Degree,3,8037,1892,0.43,33.67,USA,48.94
"Designer, jewellery",Manufacturing,Increasing,Moderate,146933.06,High School,1,6535,3658,67.22,26.7,USA,67.87
Chartered loss adjuster,Education,Increasing,Low,116283.66,High School,10,3003,9975,73.67,91.65,USA,25.6
Chartered loss adjuster,Entertainment,Decreasing,High,146425.02,Bachelor’s Degree,19,10000,5089,0.54,55.33,USA,38.84
Publishing rights manager,Retail,Increasing,Low,129712.85,Master’s Degree,17,7610,848,90.38,56.04,USA,46.35
Astronomer,Education,Decreasing,Moderate,34272.24,Master’s Degree,9,607,293,31.44,72.76,USA,64.66
Theatre manager,Transportation,Decreasing,Moderate,85393.34,High School,9,6601,9449,89.9,45.55,USA,67.4
"Engineer, civil (consulting)",Healthcare,Increasing,High,78530.82,Associate Degree,17,9875,3498,88.05,88.53,USA,68.52
"Surveyor, land/geomatics",Education,Increasing,High,44163.01,High School,18,5181,4482,91.36,96.67,USA,59.55
"Teacher, primary school",IT,Decreasing,Low,118413.05,PhD,19,845,2867,50.29,34.56,USA,32.84
Senior tax professional/tax inspector,Entertainment,Increasing,Moderate,96334.07,High School,14,4680,7634,6.44,82.05,USA,74.85
Occupational therapist,Healthcare,Increasing,High,95667.65,Master’s Degree,18,7978,1538,23.38,15.23,USA,76.42
Company secretary,Manufacturing,Decreasing,Low,82944.76,Master’s Degree,13,3378,1172,70.96,82.12,USA,60.56
"Biochemist, clinical",IT,Increasing,Low,86744.04,Bachelor’s Degree,18,6687,2599,83.64,96.44,USA,72.87
Nature conservation officer,Education,Decreasing,Moderate,64170.7,Master’s Degree,1,9745,668,76.43,62.51,USA,69.62
"Exhibitions officer, museum/gallery",Manufacturing,Increasing,High,106973.22,PhD,1,8102,1776,35.57,90.99,USA,28.34
General practice doctor,Retail,Increasing,High,32316.64,Associate Degree,18,8244,961,23.29,35.05,USA,56.07
Air traffic controller,Education,Increasing,Low,69701.34,Associate Degree,6,9785,1236,96.24,79.78,USA,74.67
Gaffer,Manufacturing,Decreasing,Low,58105.58,Bachelor’s Degree,15,3203,3867,91.57,41.48,USA,60.92
Ceramics designer,Manufacturing,Decreasing,Low,138150.72,PhD,20,6404,6942,69,27.33,USA,27.4
Land/geomatics surveyor,Education,Increasing,Low,142297.8,High School,0,6468,1483,40.94,9.02,USA,77.59
"Engineer, maintenance",Transportation,Decreasing,Low,113972.69,Associate Degree,1,7002,3767,4.89,72.32,USA,32.07
Hydrogeologist,Finance,Increasing,Low,45351.76,Bachelor’s Degree,19,9661,6157,16.34,13.38,USA,35.1
Amenity horticulturist,Retail,Decreasing,High,143995.49,High School,0,5889,8323,27.04,23.31,USA,74.17
Politician's assistant,IT,Decreasing,High,63698.09,Associate Degree,4,3892,4675,83.42,74.08,USA,36.74
Colour technologist,Education,Increasing,Moderate,80421.65,Associate Degree,18,7072,1971,85.57,16.49,USA,42.53
Insurance underwriter,Finance,Decreasing,Low,115912.99,Associate Degree,18,7386,1566,7.87,87.08,USA,38.63
"Engineer, petroleum",Retail,Decreasing,High,72977.52,PhD,1,6816,5388,52.36,81.7,USA,68.51
"Development worker, community",Healthcare,Increasing,Low,60691.69,Bachelor’s Degree,14,8298,9271,25.63,4.04,USA,43.77
Charity officer,Retail,Decreasing,Moderate,59691.03,Associate Degree,15,8467,7045,0.08,2.66,USA,61.33
Charity officer,Healthcare,Increasing,Moderate,138532.57,PhD,19,6592,3111,58.57,18.63,USA,45.07
Clinical cytogeneticist,IT,Decreasing,High,145358.34,Associate Degree,17,8872,9265,90.48,80.18,USA,61.77
Risk manager,Healthcare,Decreasing,High,47674.81,Master’s Degree,14,2933,260,82.56,48.33,USA,73.01
Production manager,Entertainment,Decreasing,Low,32695.51,Bachelor’s Degree,12,5207,8897,43.15,92.76,USA,29.82
"Programmer, applications",Transportation,Decreasing,Moderate,148083.44,Bachelor’s Degree,1,9179,1981,79.46,82.95,USA,58.72
Land,Finance,Increasing,High,144050.23,High School,7,4553,1020,34.1,60.75,USA,41.23
Tax inspector,Healthcare,Decreasing,High,116625.59,Bachelor’s Degree,17,1873,1322,37.68,85.87,USA,41.68
Chief Strategy Officer,Healthcare,Decreasing,Low,85301.08,Bachelor’s Degree,18,3832,7466,83.04,18.62,USA,53.38
"Engineer, petroleum",Healthcare,Decreasing,Low,83790.25,Bachelor’s Degree,4,3427,6363,38.26,36.36,USA,62.55
Insurance claims handler,Retail,Decreasing,High,80170.84,Bachelor’s Degree,10,5635,1084,73.42,14.64,USA,71.12
Fine artist,IT,Decreasing,Moderate,117257.99,Bachelor’s Degree,13,4782,5666,15.44,20.67,USA,30.88
Pharmacologist,Entertainment,Decreasing,Low,125355.67,High School,9,2849,7297,50.24,58.59,USA,78.25
Television floor manager,Entertainment,Increasing,High,104334.91,Bachelor’s Degree,9,2964,6490,4.8,49.34,USA,57
Chief Executive Officer,Entertainment,Decreasing,High,42328.47,Bachelor’s Degree,11,5816,906,23.86,79.24,USA,74.61
Clinical psychologist,Finance,Increasing,Moderate,138665.26,Associate Degree,6,6689,2395,0.94,80.78,USA,63.57
"Scientist, physiological",Healthcare,Increasing,High,125929.1,Associate Degree,1,6738,9013,42.6,8.68,USA,53.7
"Buyer, industrial",IT,Decreasing,Moderate,144477.28,Master’s Degree,14,8216,8974,26.42,28.76,USA,67.98
Music therapist,Retail,Decreasing,High,79746.99,PhD,18,7658,2847,81.61,99.86,USA,55.3
Broadcast journalist,Entertainment,Decreasing,High,94372.81,High School,1,5881,4812,7.66,11.52,USA,45.39
Occupational therapist,Manufacturing,Increasing,Low,91468.65,Bachelor’s Degree,6,3283,5682,50.12,2.44,USA,33.67
Sales executive,Healthcare,Decreasing,Moderate,140990.86,PhD,6,9850,5832,52.02,98.37,USA,71.58
Event organiser,Finance,Increasing,High,98099.13,High School,1,5787,5336,26.36,6.99,USA,58.97
Quality manager,Manufacturing,Increasing,Moderate,41578.33,Associate Degree,8,4686,7092,70.49,41.23,USA,39.48
Osteopath,Finance,Increasing,High,85813.68,High School,15,3579,3152,82.06,55.37,USA,28.81
Financial manager,Transportation,Decreasing,High,133582.78,PhD,20,7887,8245,55.25,62.56,USA,34.81
"Teacher, primary school",Transportation,Decreasing,High,56072.7,Bachelor’s Degree,16,685,9878,39.43,55.58,USA,47.99
"Teacher, special educational needs",Entertainment,Decreasing,Low,126466.15,Associate Degree,17,7471,5275,91.77,80,USA,27.99
Information officer,Entertainment,Increasing,High,74167.18,Bachelor’s Degree,16,1287,8795,48.27,88.69,USA,75.19
"Buyer, industrial",Education,Increasing,Low,34691.36,PhD,0,8403,8516,53.61,61.79,USA,69.94
Tax inspector,Education,Increasing,High,84052.77,Bachelor’s Degree,14,8725,7347,54.55,93.09,USA,26.42
Land/geomatics surveyor,Healthcare,Decreasing,Moderate,39836.82,High School,0,8518,184,75.56,24.42,USA,77.81
Location manager,Education,Decreasing,Low,47704.55,Bachelor’s Degree,2,5232,2091,12.01,56.83,USA,70.78
Clinical embryologist,Finance,Increasing,Low,51649.54,High School,13,257,1861,76.46,24.28,USA,43.27
Academic librarian,Healthcare,Increasing,High,40658,PhD,20,4209,8416,41.68,10.25,USA,41.53
"Administrator, Civil Service",Retail,Increasing,Low,62038.85,High School,9,2780,6171,85.33,48.98,USA,58.51
"Engineer, electronics",Retail,Decreasing,Low,69450.94,Master’s Degree,19,9198,923,57.24,40.72,USA,73.68
"Engineer, civil (contracting)",Healthcare,Decreasing,High,130553.69,PhD,19,6579,5753,83.39,22.82,USA,50.34
Adult guidance worker,Transportation,Decreasing,Moderate,140633.22,Bachelor’s Degree,13,5715,7353,50.04,21.91,USA,76.21
Restaurant manager,Entertainment,Decreasing,Moderate,144700.92,Bachelor’s Degree,9,4969,8835,14.52,17.71,USA,28.39
Magazine journalist,Retail,Increasing,Moderate,141474.28,Bachelor’s Degree,14,6870,8186,81.17,22.42,USA,59.62
Horticultural consultant,IT,Increasing,Moderate,89053.9,High School,4,6186,1857,14.07,17.82,USA,51.27
"Engineer, maintenance",Manufacturing,Increasing,Low,113120.19,Master’s Degree,18,8602,5230,27.72,99.43,USA,31.52
Museum education officer,Finance,Decreasing,Low,96905.06,Associate Degree,1,2871,9237,22.87,0.6,USA,68.15
"Solicitor, Scotland",Transportation,Increasing,Low,131924.14,High School,20,5385,393,30.68,11.73,USA,27.12
"Psychologist, forensic",Healthcare,Increasing,Moderate,145258.19,Bachelor’s Degree,4,8540,9047,39.58,11.58,USA,45.18
Broadcast engineer,Manufacturing,Increasing,Low,34286.74,Bachelor’s Degree,7,5518,4413,70.37,27.39,USA,66
Recruitment consultant,Retail,Decreasing,Moderate,87401.11,Master’s Degree,2,8563,1063,73.24,37.43,USA,29.39
"Administrator, sports",Education,Decreasing,Moderate,130481.34,High School,19,8439,7191,19.49,23.74,USA,32.75
Electronics engineer,Education,Increasing,Moderate,55417.38,Bachelor’s Degree,16,5514,9329,13.73,73.07,USA,75.39
Insurance broker,Retail,Decreasing,Moderate,62713.87,Master’s Degree,16,1264,8903,72.37,73.45,USA,25.15
Archivist,Transportation,Decreasing,High,38907.8,Bachelor’s Degree,10,7526,3833,41.38,81.28,USA,63.96
Tax inspector,Transportation,Increasing,Moderate,118559.28,Master’s Degree,9,4955,4580,56.28,89.08,USA,31.96
Financial adviser,Transportation,Decreasing,Low,63514.33,Master’s Degree,2,6945,8399,62.45,29.31,USA,51.6
Chartered loss adjuster,Manufacturing,Decreasing,Low,67785.56,Associate Degree,17,354,2185,84.45,93.66,USA,56.72
"Research officer, government",IT,Decreasing,Low,113845.21,Bachelor’s Degree,16,6528,180,37.44,97.28,USA,42.91
Radio broadcast assistant,Transportation,Increasing,Low,37141.4,Associate Degree,10,6199,6310,34.46,53.51,USA,70.73
"Scientist, audiological",Finance,Increasing,High,78323.54,Associate Degree,7,3194,1758,64.37,43.94,USA,32.96
